,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18,Col 19,Col 20,Col 21,Col 22,Col 23,Col 24,Col 25,Col 26,Col 27,Col 28,Col 29,Col 30,Col 31,Col 32,Col 33,Col 34,Col 35,Col 36,Col 37,Col 38,Col 39,Col 40,Col 41,Col 42,Col 43,Col 44,Col 45,Col 46,Col 47,Col 48,Col 49,Col 50,Col 51,Col 52,Col 53,Col 54,Col 55,Col 56,Col 57,Col 58,Col 59,Col 60,Col 61,Col 62,Col 63,Col 64,Col 65,Col 66,Col 67,Col 68,Col 69,Col 70,Col 71,Col 72,Col 73,Col 74,Col 75,Col 76,Col 77,Col 78,Col 79,Col 80,Col 81,Col 82,Col 83,Col 84,Col 85,Col 86,Col 87,Col 88,Col 89,Col 90,Col 91,Col 92,Col 93,Col 94,Col 95,Col 96,Col 97,Col 98,Col 99,Col 100
Row 12,4,57,57,74,0,6,41,87,30,73,6,79,14,78,62,74,35,91,55,29,68,39,70,22,22,44,17,89,13,67,82,67,25,99,93,12,8,78,30,16,19,10,32,84,10,33,79,4,32,75,94,17,28,22,9,14,25,9,1,24,44,16,2,42,56,60,80,32,27,69,14,58,70,61,82,64,92,65,61,56,28,99,83,89,80,90,86,18,6,44,5,16,42,72,19,79,12,1,73,75
Row 13,8,52,99,67,99,37,12,47,51,83,77,1,97,60,2,64,65,69,88,58,65,97,68,74,80,32,85,77,40,43,42,92,60,98,45,23,37,63,39,97,50,26,53,47,19,30,33,94,63,77,56,94,44,61,17,34,41,20,31,5,68,89,48,75,59,34,44,78,18,31,22,58,96,13,42,44,51,0,86,15,24,57,22,61,43,64,41,77,69,13,38,7,49,54,32,21,28,59,57,86
Row 14,39,75,52,66,36,58,90,49,4,43,19,71,94,30,99,25,54,55,3,30,80,78,29,6,92,80,32,43,33,3,29,1,10,8,86,47,76,40,91,58,11,14,77,73,6,31,5,10,80,53,47,97,52,96,46,34,55,11,16,98,47,46,17,58,55,25,61,30,58,94,63,24,15,97,67,86,33,57,16,49,77,78,96,25,41,2,16,45,28,85,8,0,64,19,72,80,46,50,52,46
Row 15,40,2,16,39,88,48,33,15,77,23,37,56,6,17,53,75,43,68,49,39,93,80,63,6,83,26,1,3,53,97,55,44,80,11,22,97,19,69,15,17,97,55,6,76,45,55,9,54,19,4,10,30,37,95,7,69,78,32,31,8,74,79,54,52,81,42,11,79,42,72,98,1,89,65,33,69,38,8,18,80,76,62,83,86,37,77,23,80,64,90,41,4,16,78,57,22,92,41,95,41
Row 16,64,8,87,86,99,29,71,63,71,50,89,34,90,16,69,40,47,77,3,19,17,21,99,58,84,32,42,66,33,21,95,41,13,87,11,56,14,33,12,31,60,38,84,47,60,5,15,82,90,6,6,32,63,21,34,3,1,33,79,71,57,19,0,13,71,38,39,18,58,33,33,27,9,24,39,27,37,24,19,89,39,54,39,61,97,65,1,11,11,30,54,75,58,24,42,76,31,90,71,19
Row 17,59,92,1,71,18,23,98,46,26,2,44,28,76,58,71,65,77,7,46,11,66,52,61,15,24,66,78,58,99,31,52,91,44,30,39,16,41,97,55,66,31,16,88,65,74,98,54,58,33,62,90,58,71,16,19,83,47,9,52,50,63,18,99,29,48,64,12,12,70,98,53,76,85,82,24,27,36,42,53,6,7,77,50,28,85,2,39,60,95,25,74,66,53,95,4,49,58,45,59,74
Row 18,46,6,4,20,59,11,3,49,14,69,36,26,86,10,25,58,75,80,4,96,52,19,77,95,45,75,9,46,74,97,57,17,17,11,53,11,16,13,87,95,0,39,27,11,36,75,5,64,60,9,33,63,84,81,77,71,96,77,38,36,21,61,1,83,93,98,74,39,97,44,64,48,82,73,28,22,33,86,99,52,71,18,49,43,35,92,71,44,68,21,98,72,34,72,15,89,55,32,50,84
Row 19,37,93,74,56,31,61,30,58,48,42,82,63,76,90,36,37,14,79,62,80,25,72,50,12,46,22,16,9,24,10,51,3,5,60,20,98,14,19,9,70,70,69,20,17,98,76,51,42,80,42,93,72,74,21,41,94,46,17,62,47,29,34,7,98,33,80,40,15,43,24,99,83,18,84,65,43,54,75,38,75,41,78,74,91,33,39,95,51,48,35,38,36,92,66,41,70,83,37,35,93
Row 20,59,60,4,64,98,90,91,21,6,62,22,27,56,61,25,91,38,10,55,91,76,33,31,30,89,86,96,28,0,32,54,93,74,71,92,16,3,40,52,7,40,24,74,52,91,97,60,4,15,70,26,37,46,36,21,88,83,35,67,79,90,49,3,80,66,31,77,36,56,38,9,64,27,59,66,97,20,19,92,47,54,8,28,81,1,14,54,52,58,63,97,96,56,42,16,84,36,37,54,65
Row 21,46,92,34,5,10,98,6,92,66,13,17,16,99,54,89,2,48,51,39,50,60,93,41,31,99,25,70,48,20,86,23,54,97,76,35,28,15,43,20,38,91,59,7,70,23,87,24,51,95,15,36,24,94,43,9,50,28,76,75,12,12,6,87,87,20,3,56,38,86,35,78,94,65,37,32,81,9,25,68,27,41,72,56,36,38,1,74,72,76,70,73,9,46,20,6,0,8,17,35,88
Row 22,43,75,53,51,58,33,28,52,98,70,42,97,19,65,65,53,99,42,38,17,80,33,78,12,26,25,33,32,7,2,22,85,23,40,95,27,57,98,77,38,0,1,86,59,64,74,21,85,31,0,91,40,41,29,15,26,9,45,48,98,30,83,52,76,9,88,34,88,59,5,7,32,36,76,26,91,55,49,3,9,82,4,95,46,98,31,95,55,91,33,64,62,84,62,69,75,88,73,91,28
Row 23,83,19,81,66,42,92,7,68,46,81,26,23,77,71,40,89,93,68,3,11,35,53,13,32,55,81,84,82,46,83,20,50,69,82,76,6,57,39,23,7,57,9,80,74,62,86,99,81,73,8,84,78,50,90,73,50,69,75,90,42,45,42,22,96,84,69,40,11,22,64,51,63,77,16,96,38,3,87,68,82,48,40,35,7,15,24,33,69,58,82,21,81,76,42,82,9,14,21,16,4
Row 24,82,15,94,79,87,61,34,29,21,48,54,56,63,73,67,18,87,70,59,42,54,47,16,51,84,76,36,43,72,29,26,51,97,44,69,81,78,45,4,36,26,53,35,90,22,48,44,11,48,93,19,20,1,77,98,71,8,96,56,63,41,82,68,29,92,52,90,92,49,86,99,19,41,39,96,10,48,57,18,74,6,93,80,64,29,38,15,84,61,4,14,96,68,36,15,86,54,19,72,49
Row 25,42,97,32,99,13,89,60,51,10,89,16,35,35,88,1,42,86,46,93,39,66,16,87,27,94,12,66,20,87,48,14,43,93,15,10,82,28,85,83,38,66,74,13,54,13,26,25,72,6,61,34,82,35,91,46,25,26,15,97,61,3,93,24,47,18,48,3,0,72,43,32,51,35,98,62,83,38,35,3,37,45,6,58,33,88,27,1,14,98,94,1,60,50,47,15,58,8,31,72,1
Row 26,85,85,93,72,96,16,58,63,24,54,45,58,18,33,4,49,5,65,39,63,64,77,35,38,3,64,92,5,19,22,15,92,11,59,20,89,43,11,37,85,22,39,7,51,22,2,78,53,65,53,66,61,82,69,65,88,33,56,45,70,81,17,56,5,60,79,7,28,29,26,66,16,60,4,0,69,78,54,11,0,14,96,7,77,48,53,96,39,51,29,23,92,67,85,98,41,21,69,79,97
Row 27,81,17,2,49,42,75,17,10,95,23,38,30,3,40,43,0,86,75,26,5,74,64,61,30,56,33,45,23,70,53,78,92,32,36,51,78,84,44,11,75,37,82,91,69,1,14,94,56,14,32,75,39,52,45,37,80,24,17,95,35,44,38,28,98,32,77,89,48,21,34,88,3,40,7,52,23,1,4,8,65,30,17,41,68,94,17,96,56,96,96,4,43,63,90,24,94,7,36,17,35
Row 28,65,53,4,73,5,25,90,95,2,55,32,85,30,43,86,23,37,52,69,36,31,82,87,74,40,69,32,15,19,93,95,57,41,44,48,46,59,7,80,55,23,61,14,51,91,92,5,70,80,12,6,60,72,30,69,50,39,6,7,12,93,3,15,89,88,39,30,9,67,32,41,72,86,17,8,62,71,9,59,53,70,60,47,0,58,43,90,68,83,29,72,52,93,95,36,32,22,53,37,54
Row 29,90,68,64,96,68,77,5,47,65,69,85,76,72,4,10,73,85,65,50,35,2,68,64,60,53,10,80,18,47,81,91,89,41,96,53,6,18,73,77,17,89,79,49,46,35,4,93,35,9,14,28,2,34,4,1,51,47,47,34,91,51,45,37,73,85,16,59,33,49,77,57,1,59,52,72,64,56,53,78,5,20,27,52,76,65,76,36,78,26,1,78,71,76,90,32,2,9,42,22,78
Row 30,31,94,79,23,76,8,66,55,85,44,5,12,67,58,93,48,23,65,83,5,41,70,81,53,13,48,8,16,45,58,73,64,50,71,78,50,10,7,50,51,77,75,9,22,45,14,2,48,38,52,79,50,33,61,19,58,56,28,17,73,49,78,7,15,75,61,43,37,86,63,22,79,49,11,58,16,64,55,27,41,81,51,11,39,27,41,15,86,39,12,6,14,10,69,72,51,45,42,57,35
Row 31,8,56,8,50,69,79,18,21,29,42,43,34,44,5,1,68,23,21,9,99,13,84,53,49,66,3,77,97,0,43,15,57,42,46,51,54,44,51,55,15,20,99,0,61,16,66,61,69,36,75,16,38,58,42,34,99,40,88,5,1,76,57,45,29,40,83,31,62,1,48,88,92,15,91,55,10,59,68,20,1,14,16,80,79,80,68,58,17,35,18,70,39,13,75,61,96,83,1,81,77
Row 32,98,18,13,33,6,35,3,2,19,53,68,83,17,80,72,23,72,24,59,33,65,74,16,20,94,65,50,44,70,15,69,26,93,82,16,48,71,94,98,49,17,24,36,97,64,40,21,25,28,86,70,42,44,23,29,56,83,29,9,41,66,33,29,62,2,63,62,36,15,30,62,17,22,88,61,84,43,50,69,31,28,70,60,82,89,40,2,70,42,20,6,1,91,18,40,39,54,33,46,67
Row 33,35,91,48,22,53,18,79,31,48,51,65,6,2,23,85,75,34,53,1,48,21,99,68,73,41,26,7,72,17,31,93,22,63,70,74,75,4,48,3,80,53,63,88,63,86,87,65,40,9,61,74,27,41,79,48,74,62,68,8,22,43,72,38,14,96,14,47,58,69,47,72,12,5,30,86,22,41,97,77,67,64,67,79,16,76,89,92,35,46,67,42,44,70,28,1,66,52,36,68,74
Row 34,1,44,74,68,67,54,83,50,50,96,83,23,11,27,72,99,42,97,48,57,60,65,46,73,89,85,35,84,33,82,16,47,64,84,26,80,65,34,21,74,17,56,0,58,13,7,27,38,99,88,15,24,87,53,41,41,53,8,14,35,89,37,69,80,56,57,22,86,37,68,7,8,60,55,17,70,32,10,13,70,91,84,85,67,28,5,14,38,75,56,82,13,43,47,24,74,74,28,40,99
Row 35,52,80,0,71,97,54,24,21,55,1,83,3,71,77,25,27,33,58,65,79,92,36,74,57,62,76,76,33,11,86,73,66,64,26,73,37,29,27,86,72,53,39,62,34,61,28,5,32,58,65,72,78,67,76,56,80,89,12,90,35,16,29,85,14,91,67,6,29,89,47,79,12,86,24,80,95,15,74,64,49,23,16,2,57,73,22,66,27,48,84,45,46,95,40,0,56,75,83,75,48
Row 36,5,87,16,74,87,33,55,93,13,53,7,20,81,61,21,12,14,2,34,23,16,5,13,12,20,89,67,39,15,3,7,9,81,57,0,77,73,17,47,10,75,37,55,31,98,33,38,30,49,88,40,57,51,0,38,11,48,96,59,25,37,97,70,92,18,77,91,0,45,60,56,35,77,18,86,39,38,23,72,92,66,47,9,81,32,88,76,38,25,6,80,24,84,90,56,31,96,45,40,16
Row 37,54,57,45,30,55,42,52,0,66,32,75,46,2,41,90,9,32,38,74,51,61,60,48,89,97,4,26,82,66,8,0,69,71,19,93,97,70,51,30,61,67,95,94,72,48,6,11,62,22,24,19,30,0,45,73,41,99,74,14,34,63,80,14,30,3,97,24,39,30,92,5,82,3,78,43,65,95,93,32,43,81,26,22,61,55,45,10,86,12,56,31,64,2,91,88,64,13,74,19,82
Row 38,32,43,2,27,15,6,21,71,69,5,68,67,12,71,77,98,36,74,81,83,60,61,10,37,39,52,85,27,30,77,76,70,27,55,23,20,18,84,22,82,98,54,67,10,0,37,65,18,64,64,93,3,58,65,58,30,75,34,59,73,26,75,80,66,62,53,72,59,46,87,79,66,9,47,75,33,99,44,23,73,40,19,75,47,47,6,43,12,30,80,51,39,96,58,51,79,53,20,28,91
Row 39,56,56,12,27,35,17,97,34,8,16,89,12,21,38,41,28,54,76,22,49,21,19,88,63,75,29,19,96,47,71,95,36,19,97,40,68,29,34,99,60,12,78,20,8,88,82,96,54,98,49,26,88,21,57,55,24,65,90,85,25,1,14,82,47,41,91,9,92,83,49,26,0,71,97,45,77,8,67,72,66,12,10,65,26,89,30,43,43,0,53,88,46,42,55,58,84,70,79,27,80
Row 40,24,70,12,71,24,66,56,63,80,79,82,65,19,97,26,70,21,25,63,74,47,31,95,4,25,23,67,95,92,79,54,39,98,18,58,89,6,69,34,89,43,51,26,31,56,80,85,73,63,76,39,61,60,21,88,87,51,86,72,49,29,52,8,90,3,94,7,65,41,61,6,14,24,74,57,40,66,24,4,51,56,19,55,35,70,18,18,80,17,79,81,41,72,92,73,39,95,53,74,68
Row 41,55,4,68,85,31,88,6,15,93,69,39,2,63,15,47,41,30,53,27,41,98,70,89,25,17,23,50,51,48,54,81,74,34,55,44,64,74,69,18,95,50,93,24,4,96,7,47,24,69,99,3,67,36,1,64,70,78,94,81,80,46,16,79,43,68,86,58,74,7,71,58,4,5,64,1,79,47,1,29,16,65,2,54,26,96,76,42,77,74,91,43,39,68,84,65,88,76,67,70,20
Row 42,96,94,91,83,51,68,33,34,87,6,75,44,62,86,46,40,19,89,26,12,17,82,81,29,43,39,21,54,69,29,5,62,58,85,60,80,91,30,52,31,67,94,99,40,8,33,62,92,95,48,15,58,54,10,81,11,59,82,41,47,4,50,63,9,12,92,55,86,79,81,20,82,14,49,53,85,40,3,73,23,41,7,57,67,0,36,61,19,27,82,17,58,74,14,80,36,22,90,86,88
Row 43,57,53,79,20,0,99,53,71,29,83,12,9,23,73,54,41,17,82,17,34,43,65,28,94,92,5,89,31,80,15,92,10,33,17,45,43,47,9,27,75,91,95,3,0,11,24,39,39,83,95,96,64,12,29,5,14,90,98,63,3,39,41,14,61,2,18,73,3,33,48,33,79,33,77,17,10,1,97,87,44,76,69,93,7,74,72,13,50,23,21,85,62,49,39,23,16,23,91,18,78
Row 44,24,99,49,30,14,55,86,55,62,15,35,89,70,73,59,76,39,30,23,80,58,82,38,97,15,82,90,37,66,56,83,60,62,62,44,32,25,18,76,49,6,29,94,49,8,16,4,7,15,45,80,27,67,11,71,79,88,36,29,19,20,87,59,99,60,56,51,79,57,24,74,33,65,77,15,68,72,47,58,4,82,97,45,35,6,88,9,73,18,5,6,12,11,39,74,85,73,95,0,4
Row 45,86,71,14,43,69,24,55,70,81,10,86,97,63,11,76,32,99,52,72,20,11,33,73,56,33,6,11,64,30,81,7,92,37,5,65,44,73,27,58,78,7,31,28,54,60,24,44,92,22,20,92,35,1,5,14,9,4,70,67,54,29,40,65,27,41,88,69,2,19,49,87,69,18,13,33,65,56,34,44,20,0,6,43,25,90,73,11,99,73,93,38,71,0,37,24,55,72,3,77,86
Row 46,23,29,40,2,42,43,71,17,47,3,67,32,96,99,50,45,78,61,28,81,2,42,92,95,80,79,31,44,97,46,13,33,59,90,57,38,13,94,0,7,97,67,52,48,36,60,18,21,7,0,0,56,82,5,52,60,22,11,45,27,86,64,78,6,87,16,65,66,35,74,63,38,20,7,26,82,69,49,43,86,70,14,7,94,49,41,1,1,90,79,26,7,96,65,96,70,35,62,52,56
Row 47,1,47,18,64,96,1,85,20,59,0,15,64,2,25,98,86,82,84,6,80,9,56,43,84,79,30,68,27,52,12,1,32,83,72,82,54,12,51,3,97,10,82,98,81,70,61,23,89,74,10,21,4,67,35,24,10,50,86,20,66,23,93,72,69,35,13,67,17,76,29,42,34,52,92,34,32,77,16,5,78,19,97,80,63,44,87,71,12,97,0,76,86,44,48,88,77,32,69,61,72
Row 48,93,84,70,26,95,36,16,9,13,35,89,87,83,14,59,96,31,44,72,33,16,72,23,52,77,10,37,56,11,21,47,45,82,2,54,6,47,29,44,27,88,6,76,7,8,12,34,80,78,48,69,48,47,3,11,80,61,18,86,7,54,52,21,49,62,72,22,49,30,42,78,47,29,33,69,42,60,56,55,96,48,66,53,14,40,70,83,72,14,17,76,9,64,67,70,92,29,10,54,42
Row 49,57,48,95,63,59,70,77,93,67,15,17,81,94,17,77,8,13,6,90,35,53,2,12,97,3,92,35,68,87,58,16,40,83,28,92,24,14,3,55,40,7,79,92,67,41,13,48,85,6,92,62,79,11,75,71,9,50,18,47,86,27,19,2,22,87,46,63,43,58,87,6,53,25,72,38,41,7,65,16,75,53,98,40,97,86,99,6,3,29,84,19,83,38,32,76,67,33,4,51,77
Row 50,51,49,47,22,69,49,34,33,15,98,4,61,12,35,65,41,30,6,17,95,62,18,88,15,49,24,12,54,38,12,11,16,27,55,21,25,47,10,91,61,31,58,76,79,32,24,91,74,37,56,24,37,60,98,53,7,93,55,64,84,74,27,35,14,71,3,9,36,55,68,94,22,10,35,48,85,31,32,13,82,93,71,84,13,26,6,29,15,30,53,21,51,3,64,51,52,42,78,17,0
Row 51,2,55,51,81,67,75,14,89,19,66,42,92,81,34,78,43,58,44,94,43,59,12,60,85,59,54,89,83,42,10,26,77,88,18,95,28,40,97,31,42,67,58,57,64,27,83,63,75,71,5,70,55,72,75,91,0,88,75,71,56,9,44,68,45,47,83,77,34,95,58,71,78,38,38,14,28,98,2,74,95,63,95,15,91,40,28,25,95,47,75,69,67,15,83,26,15,66,21,12,80
Row 52,63,9,23,18,6,85,92,63,71,92,99,61,52,28,57,75,52,1,80,73,52,73,51,55,38,95,17,69,50,62,44,96,21,90,64,17,48,16,75,68,5,7,23,6,17,76,4,89,17,33,53,66,39,35,93,61,83,23,57,35,50,9,59,87,38,37,83,5,90,60,52,82,48,36,59,73,48,60,14,82,23,97,25,99,89,45,68,69,99,21,30,59,82,29,10,49,3,20,72,45
Row 53,30,59,62,45,44,31,78,61,5,52,80,59,71,73,61,83,41,12,12,78,46,51,57,56,92,48,77,82,6,33,65,92,21,25,95,40,97,66,50,29,68,95,27,4,6,11,79,20,7,67,39,5,24,43,46,22,4,71,33,72,82,48,24,30,0,5,91,89,32,41,44,7,32,71,41,9,84,96,73,80,65,89,64,81,20,53,38,80,79,0,27,16,6,69,11,41,34,35,83,89
Row 54,81,18,20,14,70,73,36,49,81,27,10,38,6,96,92,18,44,42,44,78,16,8,94,86,27,23,17,19,71,8,78,61,44,40,78,73,93,63,67,6,73,70,41,55,89,83,70,64,63,57,41,56,44,45,90,14,25,48,81,75,31,59,18,30,16,6,40,15,72,5,8,22,28,22,96,94,32,23,37,50,62,6,2,92,22,79,44,93,35,87,98,56,66,71,60,89,29,28,0,71
Row 55,72,41,54,24,87,61,3,65,94,22,57,91,47,10,81,76,29,69,93,93,38,18,63,15,17,40,1,27,67,61,86,24,96,40,54,89,67,92,65,86,27,50,29,11,23,27,87,51,80,87,68,77,24,22,4,55,1,1,0,68,31,81,82,17,65,26,35,39,61,57,31,23,34,44,51,15,68,39,59,10,42,68,73,98,8,74,86,58,92,85,33,36,69,67,69,13,51,12,50,13
Row 56,10,97,59,18,10,21,49,16,50,89,22,5,95,94,79,1,94,12,26,97,34,53,99,25,59,79,69,2,31,83,34,69,56,2,26,63,41,63,77,20,95,88,97,96,67,25,40,44,15,13,84,67,75,77,8,52,80,18,37,14,76,73,56,23,10,4,15,37,79,25,56,44,72,30,36,6,82,92,13,29,55,60,37,77,82,71,39,80,32,96,80,57,62,56,36,54,54,98,56,68
Row 57,82,77,28,69,17,90,74,44,28,0,47,56,39,0,33,1,90,17,48,73,58,3,84,28,73,97,48,94,85,33,41,77,68,26,67,43,26,25,26,32,93,7,76,45,63,16,70,81,31,53,16,24,76,90,53,94,74,99,51,26,95,36,18,20,8,25,66,50,31,75,63,70,84,97,44,26,85,61,61,35,58,52,58,38,91,28,78,95,58,22,44,80,0,53,74,2,89,80,4,95
Row 58,34,0,11,19,33,20,48,94,78,37,32,7,67,23,23,17,8,74,42,24,58,73,51,37,54,43,92,18,31,8,85,47,44,55,64,48,79,80,91,80,50,88,22,98,31,53,63,56,71,10,91,98,90,0,85,8,31,72,0,59,40,71,23,74,42,41,43,81,55,26,48,74,42,49,79,35,14,93,49,44,53,49,36,22,85,67,81,78,4,15,8,48,92,14,98,62,84,2,26,45
Row 59,28,41,12,4,12,36,13,60,34,23,96,63,0,31,56,52,37,60,65,40,43,37,73,33,55,36,55,28,81,85,4,84,65,47,17,33,5,67,35,55,9,67,48,56,96,53,8,6,46,19,10,20,96,28,44,4,99,48,75,73,7,91,89,19,87,80,21,8,92,64,60,23,6,81,50,85,60,31,99,15,95,0,47,84,3,81,52,46,39,39,91,41,9,26,84,15,41,41,26,54
Row 60,74,78,76,45,61,2,28,12,96,63,88,56,87,75,28,36,70,9,69,19,36,53,11,60,58,1,6,62,20,60,5,36,86,55,91,76,41,51,71,67,41,61,47,16,35,80,34,11,56,10,82,66,15,2,78,79,76,20,69,7,11,73,53,95,37,88,23,52,36,16,82,45,46,23,25,71,9,30,29,32,28,90,98,76,71,59,13,23,89,42,7,28,41,5,1,87,98,22,1,91
Row 61,31,78,71,45,97,73,22,34,64,87,44,89,41,99,4,18,70,23,15,61,29,73,45,6,88,43,75,54,7,41,40,1,86,11,56,94,89,87,59,14,11,90,44,39,43,34,91,23,16,8,57,76,21,88,95,38,58,77,13,0,81,36,87,58,84,88,81,27,90,54,12,28,43,27,62,59,18,61,11,58,58,17,38,3,91,14,52,37,53,58,67,63,53,68,28,99,53,66,88,6
Row 62,61,18,20,72,64,40,50,46,84,43,23,65,5,89,9,92,48,24,79,63,36,26,32,88,51,25,79,3,7,86,46,84,97,17,45,23,28,64,4,96,87,48,86,38,86,77,69,30,22,8,77,37,42,43,13,73,95,59,42,22,7,44,94,18,2,49,31,27,61,38,39,10,19,98,6,9,78,21,76,25,8,95,49,47,10,42,69,65,81,46,39,87,81,31,52,34,51,25,42,0
Row 63,5,48,17,2,73,5,41,22,92,18,34,31,58,89,89,38,32,56,76,35,78,83,28,44,13,86,34,99,40,78,8,92,49,46,9,68,54,41,86,64,83,43,55,44,88,39,44,48,84,5,23,58,99,99,40,18,89,67,95,57,96,32,71,13,82,98,22,53,25,7,69,28,95,77,57,9,52,95,52,52,58,31,8,62,53,48,65,75,28,17,1,40,13,26,77,14,42,7,80,84
